,location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
30,771,111,60,56,"1,31,56,60",3,0,1,31.000000,Lithuania,Lithuania,Lithuania,Lithuania,2,admin0,LTU,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,LTU,LTU,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Lithuania,Republic of Lithuania
31,771,111,61,56,"1,31,56,61",3,0,1,32.000000,Republic of Moldova,Republic of Moldova,Republic of Moldova,Republic of Moldova,2,admin0,MDA,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,MDA,MDA,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Moldova,Republic of Moldova
32,771,111,62,56,"1,31,56,62",3,0,1,33.000000,Russian Federation,Russian Federation,Russian Federation,Russian Federation,2,admin0,RUS,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,RUS,RUS,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Russia,Russian Federation
33,771,111,63,56,"1,31,56,63",3,0,1,34.000000,Ukraine,Ukraine,Ukraine,Ukraine,2,admin0,UKR,31.0,"Central Europe, Eastern Europe, and Central Asia",56.0,Eastern Europe,UKR,UKR,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Ukraine,Ukraine
34,771,111,64,1,"1,64",1,0,0,35.000000,High-income,High-income,HI,High-income,7,superregion,,64.0,High-income,,,S1,S1,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,High income,High-income
35,771,111,70,64,"1,64,70",2,0,0,36.000000,Australasia,Australasia,Australasia,Australasia,6,region,,64.0,High-income,70.0,Australasia,R6,R6,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Australasia,Australasia
36,771,111,71,70,"1,64,70,71",3,1,1,37.000000,Australia,Australia,Australia,Australia,2,admin0,AUS,64.0,High-income,70.0,Australasia,AUS,AUS,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Australia,Australia
37,771,111,72,70,"1,64,70,72",3,0,1,38.000000,New Zealand,New Zealand,New Zealand,New Zealand,2,admin0,NZL,64.0,High-income,70.0,Australasia,NZL,NZL,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,New Zealand,New Zealand
38,771,111,65,64,"1,64,65",2,0,0,39.000000,High-income Asia Pacific,High-income Asia Pacific,HI Asia Pac,High-income Asia Pacific,6,region,,64.0,High-income,65.0,High-income Asia Pacific,R1,R1,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,High-income Asia Pacific,High-income Asia Pacific
39,771,111,66,65,"1,64,65,66",3,0,1,40.000000,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,2,admin0,BRN,64.0,High-income,65.0,High-income Asia Pacific,BRN,BRN,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Brunei,Brunei Darussalam
40,771,111,67,65,"1,64,65,67",3,0,1,41.000000,Japan,Japan,Japan,Japan,2,admin0,JPN,64.0,High-income,65.0,High-income Asia Pacific,JPN,JPN,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Japan,Japan
41,771,111,68,65,"1,64,65,68",3,0,1,42.000000,Republic of Korea,Republic of Korea,Republic of Korea,Republic of Korea,2,admin0,KOR,64.0,High-income,65.0,High-income Asia Pacific,KOR,KOR,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,South Korea,Republic of Korea
42,771,111,69,65,"1,64,65,69",3,0,1,43.000000,Singapore,Singapore,Singapore,Singapore,2,admin0,SGP,64.0,High-income,65.0,High-income Asia Pacific,SGP,SGP,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Singapore,Republic of Singapore
43,771,111,100,64,"1,64,100",2,0,0,44.000000,High-income North America,High-income North America,HI N Am,High-income North America,6,region,,64.0,High-income,100.0,High-income North America,R16,R16,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,High-income North America,High-income North America
44,771,111,101,100,"1,64,100,101",3,0,0,45.000000,Canada,Canada,Canada,Canada,2,admin0,CAN,64.0,High-income,100.0,High-income North America,CAN,CAN,1,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,Canada,Canada
45,771,111,43858,101,"1,64,100,101,43858",4,0,1,46.000000,Alberta,Alberta,Alberta,Alberta,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43858,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
46,771,111,43859,101,"1,64,100,101,43859",4,0,1,47.000000,British Columbia,British Columbia,British Columbia,British Columbia,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43859,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
47,771,111,43860,101,"1,64,100,101,43860",4,0,1,48.000000,Manitoba,Manitoba,Manitoba,Manitoba,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43860,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
48,771,111,43861,101,"1,64,100,101,43861",4,0,1,49.000000,New Brunswick,New Brunswick,New Brunswick,New Brunswick,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43861,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
49,771,111,43862,101,"1,64,100,101,43862",4,0,1,50.000000,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland & Labrador,Newfoundland and Labrador,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43862,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
50,771,111,43863,101,"1,64,100,101,43863",4,0,1,51.000000,Northwest Territories,Northwest Territories,NW Terr,Northwest Territories,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43863,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
51,771,111,43864,101,"1,64,100,101,43864",4,0,1,52.000000,Nova Scotia,Nova Scotia,Nova Scotia,Nova Scotia,3,admin1,,64.0,High-income,100.0,High-income North America,CAN_43864,,,2020-08-17 14:21:48,,2020-08-17 14:21:48,2020-08-17 14:21:48,ferdid06,INSERT,,
