location_id,alpha,beta,gamma,delta,omicron,ba5
160,,,,4/1/21,12/7/21,6/1/22
139,,,,5/1/21,12/1/21,5/15/22
140,,,,3/15/21,11/17/21,4/15/22
141,1/1/21,,,7/15/21,12/8/21,5/15/22
142,2/1/21,,,5/1/21,12/18/21,5/25/22
143,12/15/20,,,5/1/21,12/9/21,5/18/22
144,1/1/21,,,9/15/21,12/9/21,5/18/22
145,12/1/20,,,4/1/21,11/17/21,5/4/22
146,11/1/20,,,6/1/21,11/26/21,5/4/22
147,,,,6/1/21,12/20/21,6/3/22
148,,,,6/1/21,11/17/21,5/4/22
150,1/1/21,,,4/1/21,11/24/21,4/15/22
149,12/15/20,,,7/1/21,12/4/21,5/18/22
151,1/1/21,,,,11/19/21,5/1/22
152,,,,3/1/21,11/17/21,4/15/22
522,,,,,12/8/21,5/18/22
153,1/15/21,,,6/1/21,12/15/21,6/9/22
154,1/15/21,,,4/15/21,11/27/21,5/18/22
155,1/15/21,,,6/1/21,11/20/21,5/25/22
156,11/15/20,,,4/1/21,11/12/21,4/15/22
157,1/1/21,,,6/15/21,12/10/21,6/9/22
161,1/15/21,,,4/1/21,12/2/21,5/10/22
162,,,,,12/6/21,5/18/22
4841,,,,2/1/21,12/13/21,5/17/22
4842,,,,3/15/21,12/11/21,6/10/22
4843,,,,3/1/21,12/9/21,5/25/22
4844,,,,3/1/21,12/9/21,5/25/22
4846,,,,2/1/21,12/9/21,5/25/22
4849,,,,2/15/21,12/7/21,5/17/22
4850,,,,2/15/21,12/7/21,5/11/22
4851,,,,2/15/21,12/7/21,5/11/22
4852,,,,2/15/21,12/6/21,5/11/22
4853,,,,2/15/21,12/10/21,5/25/22
4854,,,,2/15/21,12/9/21,5/25/22
4855,,,,2/15/21,12/4/21,5/25/22
4856,,,,2/15/21,12/9/21,5/17/22
4857,,,,3/1/21,12/13/21,5/11/22
4859,,,,2/1/21,12/4/21,5/18/22
4860,,,,2/1/21,12/3/21,5/11/22
4861,,,,3/15/21,12/11/21,6/1/22
4862,,,,3/1/21,12/11/21,5/25/22
